N,generation
12278,-0.01628929793125916
12278,-0.016207851441602868
12278,-0.01612640495194657
12278,-0.016044958462290274
12278,-0.01596351197263398
12278,-0.015882065482977683
12278,-0.01580061899332139
12278,-0.015719172503665092
12278,-0.015637726014008795
12278,-0.0155562795243525
12278,-0.015474833034696205
12278,-0.01539338654503991
12278,-0.015311940055383612
12278,-0.015230493565727317
12278,-0.015149047076071022
12278,-0.015067600586414726
12278,-0.01498615409675843
12278,-0.014904707607102134
12278,-0.014823261117445839
12278,-0.014741814627789541
12278,-0.014660368138133246
12278,-0.01457892164847695
12278,-0.014497475158820656
12278,-0.014416028669164358
12278,-0.014334582179508063
12278,-0.014253135689851768
12278,-0.01417168920019547
12278,-0.014090242710539175
12278,-0.01400879622088288
12278,-0.013927349731226585
12278,-0.013845903241570288
12278,-0.013764456751913992
12278,-0.013683010262257697
12278,-0.0136015637726014
12278,-0.013520117282945105
12278,-0.01343867079328881
12278,-0.013357224303632514
12278,-0.013275777813976217
12278,-0.013194331324319922
12278,-0.013112884834663626
12278,-0.01303143834500733
12278,-0.012949991855351034
12278,-0.012868545365694739
12278,-0.012787098876038443
12278,-0.012705652386382146
12278,-0.012624205896725851
12278,-0.012542759407069556
12278,-0.012461312917413259
12278,-0.012379866427756963
12278,-0.012298419938100668
12278,-0.012216973448444373
12278,-0.012135526958788076
12278,-0.01205408046913178
12278,-0.011972633979475485
12278,-0.01189118748981919
12278,-0.011809741000162893
12278,-0.011728294510506597
12278,-0.011646848020850302
12278,-0.011565401531194005
12278,-0.01148395504153771
12278,-0.011402508551881414
12278,-0.011321062062225119
12278,-0.011239615572568822
12278,-0.011158169082912527
12278,-0.011076722593256231
12278,-0.010995276103599934
12278,-0.010913829613943639
12278,-0.010832383124287344
12278,-0.010750936634631048
12278,-0.010669490144974751
12278,-0.010588043655318456
12278,-0.01050659716566216
12278,-0.010425150676005863
12278,-0.010343704186349568
12278,-0.010262257696693273
12278,-0.010180811207036978
12278,-0.01009936471738068
12278,-0.010017918227724385
12278,-0.00993647173806809
12278,-0.009855025248411793
12278,-0.009773578758755497
12278,-0.009692132269099202
12278,-0.009610685779442907
12278,-0.00952923928978661
12278,-0.009447792800130314
12278,-0.009366346310474019
12278,-0.009284899820817722
12278,-0.009203453331161427
12278,-0.009122006841505131
12278,-0.009040560351848836
12278,-0.008959113862192539
12278,-0.008877667372536244
12278,-0.008796220882879948
12278,-0.008714774393223651
12278,-0.008633327903567356
12278,-0.00855188141391106
12278,-0.008470434924254765
12278,-0.008388988434598468
12278,-0.008307541944942173
12278,-0.008226095455285878
12278,-0.00814464896562958
12278,-0.008063202475973285
12278,-0.00798175598631699
12278,-0.007900309496660695
12278,-0.007818863007004398
12278,-0.007737416517348102
12278,-0.007655970027691806
12278,-0.007574523538035511
12278,-0.007493077048379215
12278,-0.007411630558722919
12278,-0.007330184069066623
12278,-0.007248737579410328
12278,-0.007167291089754032
12278,-0.007085844600097735
12278,-0.00700439811044144
12278,-0.006922951620785144
12278,-0.0068415051311288486
12278,-0.006760058641472552
12278,-0.006678612151816257
12278,-0.006597165662159961
12278,-0.006515719172503665
12278,-0.006434272682847369
12278,-0.006352826193191073
12278,-0.006271379703534778
12278,-0.006189933213878482
12278,-0.006108486724222186
12278,-0.00602704023456589
12278,-0.005945593744909595
12278,-0.005864147255253299
12278,-0.0057827007655970025
12278,-0.005701254275940707
12278,-0.005619807786284411
12278,-0.005538361296628116
12278,-0.0054569148069718194
12278,-0.005375468317315524
12278,-0.005294021827659228
12278,-0.005212575338002932
12278,-0.005131128848346636
12278,-0.00504968235869034
12278,-0.004968235869034045
12278,-0.004886789379377749
12278,-0.004805342889721453
12278,-0.004723896400065157
12278,-0.004642449910408861
12278,-0.004561003420752566
12278,-0.0044795569310962695
12278,-0.004398110441439974
12278,-0.004316663951783678
12278,-0.004235217462127383
12278,-0.0041537709724710865
12278,-0.00407232448281479
12278,-0.003990877993158495
12278,-0.003909431503502199
12278,-0.003827985013845903
12278,-0.0037465385241896073
12278,-0.0036650920345333115
12278,-0.003583645544877016
12278,-0.00350219905522072
12278,-0.0034207525655644243
12278,-0.0033393060759081285
12278,-0.0032578595862518323
12278,-0.0031764130965955366
12278,-0.003094966606939241
12278,-0.003013520117282945
12278,-0.0029320736276266493
12278,-0.0028506271379703536
12278,-0.002769180648314058
12278,-0.002687734158657762
12278,-0.002606287669001466
12278,-0.00252484117934517
12278,-0.0024433946896888744
12278,-0.0023619482000325786
12278,-0.002280501710376283
12278,-0.002199055220719987
12278,-0.0021176087310636913
12278,-0.002036162241407395
12278,-0.0019547157517510994
12278,-0.0018732692620948036
12278,-0.001791822772438508
12278,-0.0017103762827822121
12278,-0.0016289297931259162
12278,-0.0015474833034696204
12278,-0.0014660368138133247
12278,-0.001384590324157029
12278,-0.001303143834500733
12278,-0.0012216973448444372
12278,-0.0011402508551881414
12278,-0.0010588043655318457
12278,-0.0009773578758755497
12278,-0.000895911386219254
12278,-0.0008144648965629581
12278,-0.0007330184069066623
12278,-0.0006515719172503665
12278,-0.0005701254275940707
12278,-0.0004886789379377749
12278,-0.00040723244828147904
12278,-0.00032578595862518323
12278,-0.0002443394689688874
12278,-0.00016289297931259162
12278,-8.144648965629581e-05
646,0.0
648,8.144648965629581e-05
649,0.00016289297931259162
651,0.0002443394689688874
653,0.00032578595862518323
655,0.00040723244828147904
657,0.0004886789379377749
658,0.0005701254275940707
660,0.0006515719172503665
662,0.0007330184069066623
664,0.0008144648965629581
666,0.000895911386219254
667,0.0009773578758755497
669,0.0010588043655318457
671,0.0011402508551881414
673,0.0012216973448444372
675,0.001303143834500733
677,0.001384590324157029
679,0.0014660368138133247
680,0.0015474833034696204
682,0.0016289297931259162
684,0.0017103762827822121
686,0.001791822772438508
688,0.0018732692620948036
690,0.0019547157517510994
692,0.002036162241407395
694,0.0021176087310636913
695,0.002199055220719987
697,0.002280501710376283
699,0.0023619482000325786
701,0.0024433946896888744
703,0.00252484117934517
705,0.002606287669001466
707,0.002687734158657762
709,0.002769180648314058
711,0.0028506271379703536
713,0.0029320736276266493
715,0.003013520117282945
717,0.003094966606939241
719,0.0031764130965955366
721,0.0032578595862518323
723,0.0033393060759081285
725,0.0034207525655644243
727,0.00350219905522072
729,0.003583645544877016
731,0.0036650920345333115
733,0.0037465385241896073
735,0.003827985013845903
737,0.003909431503502199
739,0.003990877993158495
741,0.00407232448281479
743,0.0041537709724710865
745,0.004235217462127383
747,0.004316663951783678
749,0.004398110441439974
751,0.0044795569310962695
753,0.004561003420752566
755,0.004642449910408861
757,0.004723896400065157
759,0.004805342889721453
761,0.004886789379377749
763,0.004968235869034045
766,0.00504968235869034
768,0.005131128848346636
770,0.005212575338002932
772,0.005294021827659228
774,0.005375468317315524
776,0.0054569148069718194
778,0.005538361296628116
780,0.005619807786284411
783,0.005701254275940707
785,0.0057827007655970025
787,0.005864147255253299
789,0.005945593744909595
791,0.00602704023456589
793,0.006108486724222186
796,0.006189933213878482
798,0.006271379703534778
800,0.006352826193191073
802,0.006434272682847369
804,0.006515719172503665
807,0.006597165662159961
809,0.006678612151816257
811,0.006760058641472552
813,0.0068415051311288486
815,0.006922951620785144
818,0.00700439811044144
820,0.007085844600097735
822,0.007167291089754032
824,0.007248737579410328
827,0.007330184069066623
829,0.007411630558722919
831,0.007493077048379215
834,0.007574523538035511
836,0.007655970027691806
838,0.007737416517348102
840,0.007818863007004398
843,0.007900309496660695
845,0.00798175598631699
847,0.008063202475973285
850,0.00814464896562958
852,0.008226095455285878
854,0.008307541944942173
857,0.008388988434598468
859,0.008470434924254765
861,0.00855188141391106
864,0.008633327903567356
866,0.008714774393223651
869,0.008796220882879948
871,0.008877667372536244
873,0.008959113862192539
876,0.009040560351848836
878,0.009122006841505131
881,0.009203453331161427
883,0.009284899820817722
885,0.009366346310474019
888,0.009447792800130314
890,0.00952923928978661
893,0.009610685779442907
895,0.009692132269099202
898,0.009773578758755497
900,0.009855025248411793
903,0.00993647173806809
905,0.010017918227724385
908,0.01009936471738068
910,0.010180811207036978
913,0.010262257696693273
915,0.010343704186349568
918,0.010425150676005863
920,0.01050659716566216
923,0.010588043655318456
925,0.010669490144974751
928,0.010750936634631048
930,0.010832383124287344
933,0.010913829613943639
935,0.010995276103599934
938,0.011076722593256231
941,0.011158169082912527
943,0.011239615572568822
946,0.011321062062225119
948,0.011402508551881414
951,0.01148395504153771
954,0.011565401531194005
956,0.011646848020850302
959,0.011728294510506597
961,0.011809741000162893
964,0.01189118748981919
967,0.011972633979475485
969,0.01205408046913178
972,0.012135526958788076
975,0.012216973448444373
977,0.012298419938100668
980,0.012379866427756963
983,0.012461312917413259
985,0.012542759407069556
988,0.012624205896725851
991,0.012705652386382146
994,0.012787098876038443
996,0.012868545365694739
999,0.012949991855351034
1002,0.01303143834500733
1005,0.013112884834663626
1007,0.013194331324319922
1010,0.013275777813976217
1013,0.013357224303632514
1016,0.01343867079328881
1018,0.013520117282945105
1021,0.0136015637726014
1024,0.013683010262257697
1027,0.013764456751913992
1030,0.013845903241570288
1032,0.013927349731226585
1035,0.01400879622088288
1038,0.014090242710539175
1041,0.01417168920019547
1044,0.014253135689851768
1047,0.014334582179508063
1050,0.014416028669164358
1052,0.014497475158820656
1055,0.01457892164847695
1058,0.014660368138133246
1061,0.014741814627789541
1064,0.014823261117445839
1067,0.014904707607102134
1070,0.01498615409675843
1073,0.015067600586414726
1076,0.015149047076071022
1079,0.015230493565727317
1082,0.015311940055383612
1085,0.01539338654503991
1088,0.015474833034696205
1091,0.0155562795243525
1094,0.015637726014008795
1097,0.015719172503665092
1100,0.01580061899332139
1103,0.015882065482977683
1106,0.01596351197263398
1109,0.016044958462290274
1112,0.01612640495194657
1115,0.016207851441602868
1118,0.01628929793125916
1121,0.01637074442091546
1124,0.016452190910571755
1127,0.01653363740022805
1130,0.016615083889884346
1133,0.016696530379540643
1137,0.016777976869196937
1140,0.016859423358853234
1143,0.01694086984850953
1146,0.017022316338165824
1149,0.01710376282782212
1152,0.017185209317478415
1155,0.017266655807134712
1159,0.01734810229679101
1162,0.017429548786447303
1165,0.0175109952761036
1168,0.017592441765759897
1171,0.01767388825541619
1175,0.017755334745072487
1178,0.017836781234728784
1181,0.017918227724385078
1184,0.017999674214041375
1188,0.018081120703697672
1191,0.018162567193353966
1194,0.018244013683010263
1197,0.018325460172666556
1201,0.018406906662322853
1204,0.01848835315197915
1207,0.018569799641635444
1211,0.01865124613129174
1214,0.018732692620948038
1217,0.018814139110604332
1221,0.01889558560026063
1224,0.018977032089916926
1227,0.01905847857957322
1231,0.019139925069229517
1234,0.019221371558885814
1237,0.019302818048542107
1241,0.019384264538198404
1244,0.019465711027854698
1248,0.019547157517510995
1251,0.019628604007167292
1255,0.019710050496823586
1258,0.019791496986479883
1261,0.01987294347613618
1265,0.019954389965792473
1268,0.02003583645544877
1272,0.020117282945105067
1275,0.02019872943476136
1279,0.020280175924417658
1282,0.020361622414073955
1286,0.02044306890373025
1289,0.020524515393386546
1293,0.02060596188304284
1297,0.020687408372699136
1300,0.020768854862355433
1304,0.020850301352011727
1307,0.020931747841668024
1311,0.02101319433132432
1314,0.021094640820980615
1318,0.02117608731063691
1322,0.02125753380029321
1325,0.021338980289949502
1329,0.0214204267796058
1333,0.021501873269262096
1336,0.02158331975891839
1340,0.021664766248574687
1344,0.02174621273823098
1347,0.021827659227887278
1351,0.021909105717543575
1355,0.02199055220719987
1358,0.022071998696856165
1362,0.022153445186512463
1366,0.022234891676168756
1370,0.022316338165825053
1373,0.02239778465548135
1377,0.022479231145137644
1381,0.02256067763479394
1385,0.022642124124450238
1389,0.02272357061410653
1392,0.02280501710376283
1396,0.022886463593419122
1400,0.02296791008307542
1404,0.023049356572731716
1408,0.02313080306238801
1412,0.023212249552044307
1416,0.023293696041700604
1419,0.023375142531356898
1423,0.023456589021013195
1427,0.02353803551066949
1431,0.023619482000325785
1435,0.023700928489982082
1439,0.02378237497963838
1443,0.023863821469294673
1447,0.02394526795895097
1451,0.024026714448607264
1455,0.02410816093826356
1459,0.024189607427919858
1463,0.02427105391757615
1467,0.02435250040723245
1471,0.024433946896888745
1475,0.02451539338654504
1479,0.024596839876201336
1483,0.024678286365857633
1487,0.024759732855513927
1491,0.024841179345170224
1495,0.024922625834826517
1499,0.025004072324482814
1504,0.02508551881413911
1508,0.025166965303795405
1512,0.025248411793451702
1516,0.025329858283108
1520,0.025411304772764293
1524,0.02549275126242059
1529,0.025574197752076887
1533,0.02565564424173318
1537,0.025737090731389477
1541,0.025818537221045774
1545,0.025899983710702068
1550,0.025981430200358365
1554,0.02606287669001466
1558,0.026144323179670956
1562,0.026225769669327253
1567,0.026307216158983546
1571,0.026388662648639843
1575,0.02647010913829614
1580,0.026551555627952434
1584,0.02663300211760873
1588,0.026714448607265028
1593,0.026795895096921322
1597,0.02687734158657762
1602,0.026958788076233916
1606,0.02704023456589021
1610,0.027121681055546507
1615,0.0272031275452028
1619,0.027284574034859097
1624,0.027366020524515394
1628,0.027447467014171688
1633,0.027528913503827985
1637,0.027610359993484282
1642,0.027691806483140576
1646,0.027773252972796873
1651,0.02785469946245317
1655,0.027936145952109463
1660,0.02801759244176576
1664,0.028099038931422057
1669,0.02818048542107835
1673,0.028261931910734648
1678,0.02834337840039094
1683,0.02842482489004724
1687,0.028506271379703536
1692,0.02858771786935983
1697,0.028669164359016126
1701,0.028750610848672423
1706,0.028832057338328717
1711,0.028913503827985014
1715,0.02899495031764131
1720,0.029076396807297605
1725,0.0291578432969539
